Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Grithead, D.",OCO,2,15,0,0,11,10
"Tripping, T.",OCO,1,5,2,0,11,10
"Spaghetti, Y.",OCO,1,5,0,0,11,10
"Clegane, G.",OCO,1,5,0,0,11,10
"Facemask, F.",OCO,0,0,4,1,11,10
"Holding, H.",OCO,0,0,3,2,11,10
"Clipping, C.",OCO,0,0,2,0,11,10
"Falsestart, F.",OCO,0,0,2,0,11,10
"Adams, R.",OCO,0,0,1,0,11,10
"Grey, S.",BAL,2,20,4,0,11,10
"Browning, B.",BAL,2,15,0,0,11,10
"Star, L.",BAL,1,15,5,0,11,10
"Diggler, D.",BAL,0,0,8,0,11,10
"Jeremy, R.",BAL,0,0,6,0,11,10
"Steele, R.",BAL,0,0,4,0,11,10
"Taylor, O.",BAL,0,0,4,0,11,10
"Harp, D.",BAL,0,0,3,0,11,10
"L'Alto, V.",BAL,0,0,1,0,11,10
