Player,Team,KR,KRYds,PRYds,KRLng,PRLng,KR_TD,PR_TD,PR,W,S
"Aaron, D.",COL,3,34,0,22,0,0,0,0,1,11
"Miller, H.",COL,1,19,3,19,3,0,0,1,1,11
"Barnes, B.",AZ,2,57,0,36,0,0,0,0,1,11
"Hobbs, S.",AZ,3,78,14,35,16,0,0,2,1,11
