,Stat,YKW,SJS
1,First Downs,14,23
2,3rd Down Efficiency,0.2857142857142857,0.375
3,4rd Down Efficiency,0,0
4,Total Yards,268,513
5,Passing,190,277
0,Completions,19,22
1,Attempts,40,37
7,Yards per Pass,4.8,7.5
8,Rushing,78,236
9,Rushing Attempts,17,41
10,Yards per Rush,4.6,5.8
2,Penalties,3,2
3,Penalty Yards,38,10
12,Turnovers,1,0
4,Fumbles,1,0
5,Fumbles Lost,1,0
14,Had Intercepted,0,0
15,Time of Possession,22:20,37:40
