,Q,Score Type,Time Remaining,Play,BAL,AZ
1,1,FG,10:27,18 yd FG by ForThe Brand,3,0
2,1,FG,4:18,24 yd FG by Cameron Clutch (R),3,3
3,1,FG,2:05,41 yd FG by ForThe Brand,6,3
5,2,TD,7:06,Dorfus Jimbo 42 yd interception return. (ForThe Brand kick),13,3
6,2,FG,3:46,30 yd FG by Cameron Clutch (R),13,6
7,2,TD,0:43,Corey Trevor 3 yd run. (ForThe Brand kick),20,6
9,3,TD,10:09,Vinny Valentine 12 yd pass from Andrew Reese. (Cameron Clutch (R) kick),20,13
10,3,FG,8:09,47 yd FG by ForThe Brand,23,13
11,3,TD,4:38,Kazimir Oles 31 yd pass from Andrew Reese. (Cameron Clutch (R) kick),23,20
13,4,TD,6:04,Saba Donut (R) 3 yd pass from Andrew Reese. (Cameron Clutch (R) kick),23,27
