Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Dawkins, S.",HON,8,0,1,0/0,1,1,0,0,"[0, 0, 0]"
"Kackpoo, H.",HON,7,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Banks, J.",HON,6,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Thornton, B.",HON,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Arianlacher, M.",HON,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Kearse, J.",HON,4,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"Keiki-KÄne, M.",HON,3,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Moreno, V.",HON,2,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Noble Jr., L.",HON,2,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"Culbertson, R.",HON,1,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Waters, J.",HON,1,0,0,0/0,3,0,0,0,"[0, 0, 0]"
"Brackenridge, T.",SJS,11,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Fisher, G.",SJS,10,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Bass, L.",SJS,8,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"Krause, M.",SJS,7,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Sweets, C.",SJS,6,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Lanier, B.",SJS,5,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Otle, C.",SJS,4,3,0,0/0,0,0,0,0,"[0, 0, 0]"
"PickSix, H.",SJS,3,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Chestnut III, W.",SJS,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Harris, C.",SJS,2,0,0,0/0,1,0,0,0,"[0, 0, 0]"
