Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Steele, R.",BAL,0,0,6,2,15,23
"Diggler, D.",BAL,0,0,5,0,15,23
"Dolls, B.",BAL,0,0,2,0,15,23
"Jeremy, R.",BAL,0,0,2,0,15,23
"Lewandowski, J.",BAL,0,0,2,0,15,23
"Skuff, R.",BAL,0,0,2,0,15,23
"Star, L.",BAL,0,0,2,0,15,23
"Williams, D.",BAL,0,0,0,1,15,23
"Tucker Jr., P.",CHI,1,10,3,0,15,23
"MacAndrew, H.",CHI,1,5,0,0,15,23
"McCringleberry, H.",CHI,1,6,0,0,15,23
"Okusi, R.",CHI,1,5,0,0,15,23
"Richards, E.",CHI,1,5,0,0,15,23
"VonPebbles, M.",CHI,1,5,0,0,15,23
"Bayley Jr., B.",CHI,0,0,6,0,15,23
"Gelbman, T.",CHI,0,0,4,0,15,23
"Hayes, V.",CHI,0,0,4,0,15,23
"Lesnar, B.",CHI,0,0,3,0,15,23
"Ahstreet, C.",CHI,0,0,1,0,15,23
