Player,Team,Att,Yds,Avg,Lg,rush_TD,W,S
"Mendonca, M.",AUS,19,84,4.4,13,1,16,23
"Jones, K.",AUS,15,72,4.8,10,0,16,23
"Cole, E.",AUS,1,5,5,5,0,16,23
"Lackson, J.",SJS,10,62,6.2,16,0,16,23
"Cardrissian, R.",SJS,9,37,4.1,10,0,16,23
"Jack, "".",SJS,3,4,1.3,3,0,16,23
