Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Phillips, J.",OCO,7,61,8.7,13,0,15,24
"George, D.",OCO,5,54,10.8,24,0,15,24
"Trunks, F.",OCO,4,39,9.8,11,0,15,24
"Despacito Jr., G.",OCO,3,60,20,36,0,15,24
"Mongo, H.",OCO,1,8,8,8,0,15,24
"Kane-Maika'i, K.",HON,5,46,9.2,16,0,15,24
"Podolak, J.",HON,3,108,36,44,0,15,24
"Alexander, W.",HON,2,31,15.5,22,0,15,24
"Ayers, N.",HON,2,20,10,16,0,15,24
"Clay, J.",HON,1,16,16,16,0,15,24
