Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Bode, Q.",NO,8,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Light, B.",NO,6,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Toblerone, M.",NO,6,3,1,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Blaylock, M.",NO,5,0,1,1/1,2,1,0,0,0/0/0,1,0,0,0,10,25
"Button, Q.",NO,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Rector, D.",NO,5,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,10,25
"Simwell, L.",NO,5,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Hexagon, L.",NO,2,0,0,1/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Witten, A.",NO,2,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,10,25
"Ranger, A.",NO,1,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Rikiya, M.",NO,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Biggums, T.",OCO,8,0,0,0/0,2,1,0,0,0/0/0,0,0,0,0,10,25
"Joestar, J.",OCO,7,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,10,25
"Jones, D.",OCO,7,0,2,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Abernathy, K.",OCO,6,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Beerus, L.",OCO,6,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Vegeta, P.",OCO,6,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Eagle, R.",OCO,5,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Wheezer, C.",OCO,5,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Deck, I.",OCO,3,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Bob, B.",OCO,2,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Boucher, B.",OCO,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Tank, G.",OCO,1,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,10,25
"Ramza, S.",OCO,0,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,10,25
