Player,Team,Att,Yds,Avg,Lg,rush_TD,W,S
"Nuck, B.",COL,10,40,4,13,0,1,7
"Joyce, S.",COL,7,27,3.9,12,0,1,7
"Akselsen, M.",YKW,8,24,3,13,1,1,7
"Rainey, R.",YKW,8,45,5.6,11,1,1,7
"Milan, C.",YKW,2,3,1.5,3,0,1,7
